ethnicity,zip1,act,legacy,n_applicants,n_admits
South Asian,9,32,TRUE,NA,NA
South Asian,9,33,TRUE,NA,NA
South Asian,9,34,TRUE,NA,NA
South Asian,9,35,TRUE,NA,NA
South Asian,9,36,TRUE,NA,NA
Southeast Asian,0,32,TRUE,NA,NA
Southeast Asian,0,33,TRUE,NA,NA
Southeast Asian,0,34,TRUE,NA,NA
Southeast Asian,0,35,TRUE,NA,NA
Southeast Asian,0,36,TRUE,NA,NA
Southeast Asian,1,32,TRUE,NA,NA
Southeast Asian,1,33,TRUE,NA,NA
Southeast Asian,1,34,TRUE,NA,NA
Southeast Asian,1,35,TRUE,NA,NA
Southeast Asian,1,36,TRUE,NA,NA
Southeast Asian,2,32,TRUE,NA,NA
Southeast Asian,2,33,TRUE,NA,NA
Southeast Asian,2,34,TRUE,NA,NA
Southeast Asian,2,35,TRUE,NA,NA
Southeast Asian,2,36,TRUE,NA,NA
Southeast Asian,3,32,TRUE,NA,NA
Southeast Asian,3,33,TRUE,NA,NA
Southeast Asian,3,34,TRUE,NA,NA
Southeast Asian,3,35,TRUE,NA,NA
Southeast Asian,3,36,TRUE,NA,NA
Southeast Asian,4,32,TRUE,NA,NA
Southeast Asian,4,33,TRUE,NA,NA
Southeast Asian,4,34,TRUE,NA,NA
Southeast Asian,4,35,TRUE,NA,NA
Southeast Asian,4,36,TRUE,NA,NA
Southeast Asian,5,32,TRUE,NA,NA
Southeast Asian,5,33,TRUE,NA,NA
Southeast Asian,5,34,TRUE,NA,NA
Southeast Asian,5,35,TRUE,NA,NA
Southeast Asian,5,36,TRUE,NA,NA
Southeast Asian,6,32,TRUE,NA,NA
Southeast Asian,6,33,TRUE,NA,NA
Southeast Asian,6,34,TRUE,NA,NA
Southeast Asian,6,35,TRUE,NA,NA
Southeast Asian,6,36,TRUE,NA,NA
Southeast Asian,7,32,TRUE,NA,NA
Southeast Asian,7,33,TRUE,NA,NA
Southeast Asian,7,34,TRUE,NA,NA
Southeast Asian,7,35,TRUE,NA,NA
Southeast Asian,7,36,TRUE,NA,NA
Southeast Asian,8,32,TRUE,NA,NA
Southeast Asian,8,33,TRUE,NA,NA
Southeast Asian,8,34,TRUE,NA,NA
Southeast Asian,8,35,TRUE,NA,NA
Southeast Asian,8,36,TRUE,NA,NA
Southeast Asian,9,32,TRUE,NA,NA
Southeast Asian,9,33,TRUE,NA,NA
Southeast Asian,9,34,TRUE,NA,NA
Southeast Asian,9,35,TRUE,NA,NA
Southeast Asian,9,36,TRUE,NA,NA
East Asian,0,32,TRUE,NA,NA
East Asian,0,33,TRUE,61,18
East Asian,0,34,TRUE,124,34
East Asian,0,35,TRUE,156,81
East Asian,0,36,TRUE,65,47
East Asian,1,32,TRUE,NA,NA
East Asian,1,33,TRUE,57,23
East Asian,1,34,TRUE,82,37
